feature,mean_importance
84_ExtraTrees_prediction,-0.006426829753485452
4_DecisionTree_prediction,-0.0037100242069475486
83_ExtraTrees_prediction,-0.002139265924425859
91_DecisionTree_prediction,-0.0019141644348373622
79_RandomForest_prediction,-0.0017426781907505795
87_ExtraTrees_prediction,-0.0015687089148290756
11_Default_NearestNeighbors_prediction,-0.0014831771907744206
41_ExtraTrees_prediction,-0.0011906661074908564
101_RandomForest_prediction,-0.0010854450054164078
102_ExtraTrees_prediction,-0.0010279992923144965
49_NeuralNetwork_prediction,-0.0009430993408320765
77_NeuralNetwork_prediction,-0.0008032688230093399
44_ExtraTrees_prediction,-0.0007510223647923641
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.000657170815742214
81_ExtraTrees_prediction,-0.0004774437411332988
3_DecisionTree_prediction,-0.0004590205369751077
59_NearestNeighbors_prediction,-0.00045700664901853204
76_RandomForest_prediction,-0.00045013532421860346
47_ExtraTrees_prediction,-0.00044482655487971813
85_RandomForest_prediction,-0.00036452098294248447
53_NeuralNetwork_prediction,-0.00017283023678642538
80_ExtraTrees_prediction,-0.0001677673154052872
62_NearestNeighbors_prediction,-0.00011379356727245771
43_ExtraTrees_prediction,-6.651853539065832e-05
57_NearestNeighbors_prediction,-3.7244141445169634e-05
51_NeuralNetwork_prediction,-2.6599387394798946e-05
82_NeuralNetwork_prediction,4.1318836560710895e-05
exper,5.242779284042598e-05
105_DecisionTree_prediction,8.578283140601162e-05
35_RandomForest_prediction,9.96533307111136e-05
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.00010216484838470042
54_NeuralNetwork_prediction,0.0001054416771940403
60_NearestNeighbors_prediction,0.00014151936769819519
2_DecisionTree_prediction,0.00014495327151082816
37_RandomForest_prediction,0.00017533799950533168
32_RandomForest_prediction,0.00028446833622681745
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0005724203280607076
52_NeuralNetwork_prediction,0.0005853395533212069
104_DecisionTree_prediction,0.0008270506403785793
72_LightGBM_GoldenFeatures_prediction,0.0008809567911932881
88_NeuralNetwork_prediction,0.0009803649517889257
89_DecisionTree_prediction,0.0010206951860385338
61_NearestNeighbors_prediction,0.001059688250493984
48_NeuralNetwork_prediction,0.0011175950001423018
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0012529086201471529
58_NearestNeighbors_prediction,0.0012889378957721576
78_RandomForest_prediction,0.0014849567519779282
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.001769816127556001
73_LightGBM_GoldenFeatures_prediction,0.001990174646636378
8_Default_NeuralNetwork_prediction,0.002052044240186679
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.002599509548077572
25_LightGBM_prediction,0.0027713459047156164
5_Linear_prediction,0.0029318097493878257
34_RandomForest_prediction,0.0029835812779221093
38_RandomForest_prediction,0.003077666133325252
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0031282782221683236
63_NearestNeighbors_prediction,0.0032498818288657417
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.003260732482365003
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.003437389903971555
25_LightGBM_GoldenFeatures_prediction,0.003556322958411995
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0036112611747334046
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.003651361412124343
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.004089344896386149
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.004496730504053059
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0049382682389105485
90_DecisionTree_prediction,0.005121094908665214
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005439283021824615
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.006594829195383012
Ensemble_prediction,0.008381523127311575
tenure,0.025202766402086074
female,0.036337313951072245
married,0.05923237638567036
educ,0.14553638133326324
