feature,mean_importance
87_ExtraTrees_prediction,-0.017240757975056253
81_ExtraTrees_prediction,-0.00936394141822352
48_NeuralNetwork_prediction,-0.002737152099510165
60_NearestNeighbors_prediction,-0.002520829475391084
59_NearestNeighbors_prediction,-0.0022617418261136057
57_NearestNeighbors_prediction,-0.001994876555663161
62_NearestNeighbors_prediction,-0.001745825228389042
77_NeuralNetwork_prediction,-0.001568528196046981
82_NeuralNetwork_prediction,-0.0013323501330525067
90_DecisionTree_prediction,-0.0012630761202018226
80_ExtraTrees_prediction,-0.0011950647509353595
58_NearestNeighbors_prediction,-0.0010317188570897694
61_NearestNeighbors_prediction,-0.0009205678824803609
34_RandomForest_prediction,-0.0008232920935573373
8_Default_NeuralNetwork_prediction,-0.0007635085000275543
47_ExtraTrees_prediction,-0.0007106439993547653
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.000618899930096961
32_RandomForest_prediction,-0.00045212519143471573
76_RandomForest_prediction,-0.00039637216571082324
72_LightGBM_GoldenFeatures_prediction,-0.00033378627111932955
101_RandomForest_prediction,-0.00015871232375972433
44_ExtraTrees_prediction,-3.400325901274926e-05
3_DecisionTree_prediction,5.489094520767512e-05
91_DecisionTree_prediction,8.994614378146081e-05
102_ExtraTrees_prediction,0.00011991623510441141
25_LightGBM_GoldenFeatures_prediction,0.0001586877660051833
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.00021139719647464972
78_RandomForest_prediction,0.0005873738002067696
73_LightGBM_GoldenFeatures_prediction,0.0006337543537258128
exper,0.0007392034780000056
85_RandomForest_prediction,0.0010224365808634505
89_DecisionTree_prediction,0.0010993246057616536
11_Default_NearestNeighbors_prediction,0.001240234229981363
41_ExtraTrees_prediction,0.0012747529123941614
25_LightGBM_prediction,0.0014379508468148172
88_NeuralNetwork_prediction,0.0018949892443306028
2_DecisionTree_prediction,0.001927379624708747
37_RandomForest_prediction,0.002029063625862504
49_NeuralNetwork_prediction,0.0022152150954428016
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0026668953571864717
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0027107167935372933
43_ExtraTrees_prediction,0.0028818488048985903
63_NearestNeighbors_prediction,0.003291527105593328
52_NeuralNetwork_prediction,0.0033516781616762525
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.003421924945382515
79_RandomForest_prediction,0.004119188257709516
38_RandomForest_prediction,0.004216739667864844
4_DecisionTree_prediction,0.0042607879628016486
84_ExtraTrees_prediction,0.004262267720733859
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0056498291956770365
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005654633072375214
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005715228983293796
54_NeuralNetwork_prediction,0.005794942979712015
35_RandomForest_prediction,0.006032116592078851
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.006552615972319919
53_NeuralNetwork_prediction,0.006994076371223623
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.007438368824243202
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.008961898593561812
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.009312890047231482
51_NeuralNetwork_prediction,0.009798510835030295
83_ExtraTrees_prediction,0.012739646900243484
Ensemble_prediction,0.013218476801107437
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.013974897689055932
104_DecisionTree_prediction,0.016294697653819346
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.017810630731059495
105_DecisionTree_prediction,0.01782494092183693
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.01842356357313607
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.02194356276343836
5_Linear_prediction,0.023294760943210313
married,0.05182063335036147
female,0.09364109854491183
tenure,0.10196772547113941
educ,0.15978580246818352
